MUC-CGN;Economy;1
DUS-CDG;Economy;1
MUC-CDG;Economy;1
CGN-TXL;Economy;1
LHR-CGN;Economy;1
HAM-CGN;Economy;1
LEJ-CGN;Economy;1
DUS-MAN;Economy;1
DUS-MAN;Economy;1
LEJ-CGN;Economy;1
FRA-TXL;Economy;1
CGN-MUC;Economy;1
TXL-DUS;Economy;1
CGN-MUC;Economy;1
MUC-FRA;Economy;1
MUC-CGN;Economy;1
MUC-CGN;Economy;1
MAN-DUS;Economy;1
MAN-DUS;Economy;1
CGN-HAM;Economy;1
FRA-MUC;Economy;1
CDG-TXL;Economy;1
CDG-DUS;Economy;1
CDG-DUS;Economy;1
FRA-TXL;Economy;1
TXL-CGN;Economy;1
DRS-FRA;Economy;1
CGN-TXL;Economy;1
CDG-DUS;Economy;1
CGN-TXL;Economy;1
CGN-MUC;Economy;1
CGN-HAM;Economy;1
MUC-CGN;Economy;1
CGN-TXL;Economy;1
DUS-HAM;Economy;1
CGN-ZRH;Economy;1
CGN-MUC;Economy;1
CGN-MUC;Economy;1
TXL-CGN;Economy;1
HAM-MUC;Economy;1
CGN-MUC;Economy;1
CGN-TXL;Economy;1
CGN-TXL;Economy;1
TXL-CGN;Economy;1
CGN-MUC;Economy;1
CDG-ZRH;Economy;1
FRA-HAM;Economy;1
HAM-CGN;Economy;1
CGN-MUC;Economy;1
ZRH-CGN;Economy;1
CGN-MUC;Economy;1
MUC-DUS;Economy;1
ZRH-MUC;Economy;1
LHR-DUS;Economy;1
CGN-HAM;Economy;1
DUS-LEJ;Economy;1
CGN-STN;Economy;1
CGN-HAM;Economy;1
FRA-WRO;Economy;1
FRA-WRO;Economy;1
FRA-WRO;Economy;1
TXL-CGN;Economy;1
TXL-CGN;Economy;1
LHR-CGN;Economy;1
MUC-HAM;Economy;1
HAM-CGN;Economy;1
CGN-HAM;Economy;1
EDI-FRA;Economy;1
EDI-FRA;Economy;1
MUC-CGN;Economy;1
MUC-CGN;Economy;1
TXL-MUC;Economy;1
CGN-TXL;Economy;1
CGN-HAM;Economy;1
CGN-TXL;Economy;1
CGN-MUC;Economy;1
CGN-MUC;Economy;1
HAM-CGN;Economy;1
HAM-MUC;Economy;1
CGN-TXL;Economy;1
CGN-TXL;Economy;1
CGN-HAM;Economy;1
CGN-TXL;Economy;1
CGN-TXL;Economy;1
HAM-CGN;Economy;1
CGN-TXL;Economy;1
DUS-TXL;Economy;1
TXL-CGN;Economy;1
MUC-CGN;Economy;1
CGN-MUC;Economy;1
TXL-FRA;Economy;1
WRO-FRA;Economy;1
WRO-FRA;Economy;1
MUC-CGN;Economy;1
WRO-FRA;Economy;1
CGN-TXL;Economy;1
TXL-CGN;Economy;1
CGN-MUC;Economy;1
TXL-DUS;Economy;1
CGN-TXL;Economy;1
TXL-CGN;Economy;1
MUC-CGN;Economy;1
HAM-MUC;Economy;1
TXL-CGN;Economy;1
MUC-CGN;Economy;1
CGN-MUC;Economy;1
CGN-HAM;Economy;1
TXL-SCN;Economy;1
TXL-CGN;Economy;1
TXL-CGN;Economy;1
CDG-LIN;Economy;1
TXL-DUS;Economy;1
CGN-TXL;Economy;1
MUC-CGN;Economy;1
FRA-TXL;Economy;1
MUC-CGN;Economy;1
MUC-CGN;Economy;1
FRA-TXL;Economy;1
HAM-CGN;Economy;1
MUC-CGN;Economy;1
CGN-LHR;Economy;1
MXP-DUS;Economy;1
CGN-MUC;Economy;1
SCN-TXL;Economy;1
CGN-TXL;Economy;1
HAM-FRA;Economy;1
TXL-CGN;Economy;1
CGN-MUC;Economy;1
HAM-FRA;Economy;1
CGN-MUC;Economy;1
FRA-HAM;Economy;1
CGN-TXL;Economy;1
CGN-MUC;Economy;1
FRA-MUC;Economy;1
FRA-HAM;Economy;1
DUS-LEJ;Economy;1
LGW-CGN;Economy;1
FRA-EDI;Economy;1
CGN-EDI;Economy;1
HAM-CGN;Economy;1
CGN-HAM;Economy;1
LEJ-CGN;Economy;1
CGN-HAM;Economy;1
HAM-CGN;Economy;1
LEJ-MUC;Economy;1
CGN-MUC;Economy;1
MUC-CGN;Economy;1
CGN-ZRH;Economy;1
DUS-NUE;Economy;1
NUE-CIA;Economy;1
LEJ-CGN;Economy;1
DUS-MUC;Economy;1
DUS-HAM;Economy;1
HAM-MUC;Economy;1
MUC-CGN;Economy;1
FRA-TXL;Economy;1
MUC-CGN;Economy;1
CGN-MUC;Economy;1
CGN-MUC;Economy;1
MUC-DUS;Economy;1
CGN-LEJ;Economy;1
FRA-FCO;Economy;1
DUS-FCO;Economy;1
MUC-CGN;Economy;1
MUC-FCO;Economy;1
MUC-CGN;Economy;1
HAM-MUC;Economy;1
TXL-MUC;Economy;1
MUC-CGN;Economy;1
MUC-CGN;Economy;1
HAM-MUC;Economy;1
HAM-MUC;Economy;1
CGN-MUC;Economy;1
DTM-MUC;Economy;1
HAM-MUC;Economy;1
HAM-MUC;Economy;1
HAM-MUC;Economy;1
CGN-MUC;Economy;1
FCO-DUS;Economy;1
FCO-FRA;Economy;1
FCO-FRA;Economy;1
FCO-FRA;Economy;1
MUC-HAM;Economy;1
CGN-TXL;Economy;1
CGN-MUC;Economy;1
MUC-DUS;Economy;1
CGN-MUC;Economy;1
DRS-CGN;Economy;1
CGN-MUC;Economy;1
CGN-MUC;Economy;1
CGN-MUC;Economy;1
MUC-HAM;Economy;1
MUC-CGN;Economy;1
CGN-MUC;Economy;1
MUC-CGN;Economy;1
CGN-MUC;Economy;1
MUC-CGN;Economy;1
MUC-CGN;Economy;1
CGN-MUC;Economy;1
MUC-HAM;Economy;1
MUC-CGN;Economy;1
CGN-MUC;Economy;1
CGN-TXL;Economy;1
MUC-CGN;Economy;1
CGN-TXL;Economy;1
MUC-DUS;Economy;1
MUC-HAM;Economy;1
MUC-HAM;Economy;1
MUC-HAM;Economy;1
CGN-MUC;Economy;1
TXL-CGN;Economy;1
GWT-DUS;Economy;1
CGN-TXL;Economy;1
TXL-FRA;Economy;1
DUS-GWT;Economy;1
CGN-LEJ;Economy;1
LEJ-DUS;Economy;1
CGN-MUC;Economy;1
CGN-LEJ;Economy;1
CGN-LEJ;Economy;1
CGN-LEJ;Economy;1
CGN-PMI;Economy;1
FMO-PMI;Economy;1
MUC-HAM;Economy;1
DUS-LEJ;Economy;1
DRS-PMI;Economy;1
STR-PMI;Economy;1
CGN-PMI;Economy;1
TXL-CGN;Economy;1
CGN-HAM;Economy;1
CGN-MUC;Economy;1
MUC-CGN;Economy;1
PMI-DRS;Economy;1
STR-HAM;Economy;1
PMI-FMM;Economy;1
PMI-FMO;Economy;1
LEJ-DUS;Economy;1
HAM-CGN;Economy;1
NCE-ZRH;Economy;1
ZRH-HAM;Economy;1
CGN-TXL;Economy;1
CGN-TXL;Economy;1
PMI-STR;Economy;1
HAM-NCE;Economy;1
HAM-FRA;Economy;1
DUS-CDG;Economy;1
TXL-CGN;Economy;1
HAM-CGN;Economy;1
CGN-MUC;Economy;1
DUS-CDG;Economy;1
DUS-VIE;Economy;1
MUC-CGN;Economy;1
TXL-CGN;Economy;1
DUS-VIE;Economy;1
TXL-DUS;Economy;1
CGN-TXL;Economy;1
CGN-LHR;Economy;1
CGN-LHR;Economy;1
VIE-DUS;Economy;1
CGN-HAM;Economy;1
TXL-DUS;Economy;1
VIE-TXL;Economy;1
TXL-CGN;Economy;1
CGN-LEJ;Economy;1
CDG-DUS;Economy;1
CGN-TXL;Economy;1
TXL-CGN;Economy;1
DUS-STR;Economy;1
TXL-CGN;Economy;1
TXL-DUS;Economy;1
TXL-CGN;Economy;1
FRA-TXL;Economy;1
MUC-HAM;Economy;1
MUC-CGN;Economy;1
DUS-HAM;Economy;1
NUE-DUS;Economy;1
MUC-CGN;Economy;1
CGN-MUC;Economy;1
HAM-FRA;Economy;1
MUC-DUS;Economy;1
CGN-TXL;Economy;1
CGN-MUC;Economy;1
CGN-MUC;Economy;1
HAM-MUC;Economy;1
MUC-HAM;Economy;1
HAM-CGN;Economy;1
CGN-MUC;Economy;1
MUC-TXL;Economy;1
CGN-MUC;Economy;1
LHR-CGN;Economy;1
MUC-CGN;Economy;1
FRA-TXL;Economy;1
FRA-MUC;Economy;1
CGN-MUC;Economy;1
HAM-CGN;Economy;1
CGN-MUC;Economy;1
MUC-CGN;Economy;1
TXL-CDG;Economy;1
ZRH-TXL;Economy;1
DUS-CDG;Economy;1
TXL-FRA;Economy;1
CGN-MUC;Economy;1
CGN-MUC;Economy;1
CGN-MUC;Economy;1
MUC-CGN;Economy;1
MUC-CGN;Economy;1
MUC-CGN;Economy;1
NUE-DUS;Economy;1
CGN-BRS;Economy;1
MUC-CGN;Economy;1
FRA-MUC;Economy;1
TXL-CGN;Economy;1
MUC-CGN;Economy;1
FRA-FCO;Economy;1
MUC-FCO;Economy;1
FRA-HAM;Economy;1
CDG-DUS;Economy;1
TXL-CGN;Economy;1
TXL-CGN;Economy;1
MUC-CGN;Economy;1
MUC-FRA;Economy;1
FRA-MUC;Economy;1
CGN-MUC;Economy;1
CGN-MUC;Economy;1
FCO-BLQ;Economy;1
MXP-CGN;Economy;1
BLQ-DUS;Economy;1
FCO-MXP;Economy;1
TXL-CGN;Economy;1
TXL-CGN;Economy;1
CGN-MUC;Economy;1
MXP-CGN;Economy;1
FCO-MXP;Economy;1
CDG-TXL;Economy;1
LEJ-CGN;Economy;1
CGN-MUC;Economy;1
CGN-TXL;Economy;1
CGN-TXL;Economy;1
CGN-TXL;Economy;1
FCO-MXP;Economy;1
FCO-MXP;Economy;1
MXP-CGN;Economy;1
CGN-MUC;Economy;1
CGN-TXL;Economy;1
DTM-MUC;Economy;1
CGN-TXL;Economy;1
CGN-TXL;Economy;1
TXL-MUC;Economy;1
CGN-HAM;Economy;1
LHR-CGN;Economy;1
LHR-CGN;Economy;1
CGN-LEJ;Economy;1
CGN-ZRH;Economy;1
CGN-TXL;Economy;1
TXL-CGN;Economy;1
TXL-CGN;Economy;1
MUC-CGN;Economy;1
MUC-CGN;Economy;1
HAM-CGN;Economy;1
MUC-CGN;Economy;1
CGN-HAM;Economy;1
TXL-CGN;Economy;1
TXL-CGN;Economy;1
DUS-MUC;Economy;1
MUC-CGN;Economy;1
CGN-MUC;Economy;1
MUC-DUS;Economy;1
DUS-MAN;Economy;1
DUS-MAN;Economy;1
DUS-MAN;Economy;1
DUS-MAN;Economy;1
DUS-MAN;Economy;1
DUS-MAN;Economy;1
DUS-MAN;Economy;1
DUS-MAN;Economy;1
DUS-MAN;Economy;1
DUS-MAN;Economy;1
DUS-MAN;Economy;1
DUS-MAN;Economy;1
TXL-MAN;Economy;1
DUS-MAN;Economy;1
DUS-ZRH;Economy;1
LHR-CGN;Economy;1
CGN-ZRH;Economy;1
TXL-FRA;Economy;1
TXL-CGN;Economy;1
MUC-DUS;Economy;1
TXL-CGN;Economy;1
DUS-MUC;Economy;1
CGN-TXL;Economy;1
DUS-MAN;Economy;1
ZRH-CGN;Economy;1
MAN-FRA;Economy;1
ZRH-MAN;Economy;1
ZRH-TXL;Economy;1
CGN-LHR;Economy;1
CGN-LHR;Economy;1
CGN-LHR;Economy;1
MAN-DUS;Economy;1
MAN-DUS;Economy;1
MAN-DUS;Economy;1
MAN-DUS;Economy;1
MAN-DUS;Economy;1
MAN-DUS;Economy;1
MAN-DUS;Economy;1
MAN-DUS;Economy;1
MAN-DUS;Economy;1
MAN-DUS;Economy;1
LPL-SXF;Economy;1
MAN-DUS;Economy;1
MAN-DUS;Economy;1
CGN-MUC;Economy;1
DUS-MUC;Economy;1
MUC-DUS;Economy;1
HAM-PMI;Economy;1
CGN-TXL;Economy;1
CGN-PMI;Economy;1
TXL-CGN;Economy;1
CGN-HAM;Economy;1
DUS-MUC;Economy;1
DUS-MUC;Economy;1
TXL-FRA;Economy;1
PMI-CGN;Economy;1
FRA-TXL;Economy;1
FRA-TXL;Economy;1
FRA-TXL;Economy;1
FRA-BRS;Economy;1
HAM-CGN;Economy;1
MUC-CGN;Economy;1
CGN-MUC;Economy;1
TXL-DUS;Economy;1
CGN-LEJ;Economy;1
HAM-DUS;Economy;1
HAM-NUE;Economy;1
CGN-LEJ;Economy;1
DUS-MUC;Economy;1
FRA-TXL;Economy;1
TXL-FRA;Economy;1
FRA-TXL;Economy;1
TXL-FRA;Economy;1
CGN-TXL;Economy;1
MUC-TXL;Economy;1
FRA-HAM;Economy;1
HAM-FRA;Economy;1
TXL-CGN;Economy;1
TXL-FRA;Economy;1
FRA-TXL;Economy;1
MUC-CGN;Economy;1
CGN-HAM;Economy;1
MUC-HAM;Economy;1
HAM-FRA;Economy;1
HAM-CGN;Economy;1
TXL-CGN;Economy;1
MUC-CGN;Economy;1
CGN-TXL;Economy;1
TXL-CGN;Economy;1
TXL-CGN;Economy;1
TXL-DUS;Economy;1
DUS-MAN;Economy;1
DUS-MAN;Economy;1
DUS-DRS;Economy;1
LEJ-DUS;Economy;1
CGN-MUC;Economy;1
CGN-MUC;Economy;1
CGN-MUC;Economy;1
MAN-DUS;Economy;1
MAN-DUS;Economy;1
MAN-DUS;Economy;1
MAN-DUS;Economy;1
MAN-DUS;Economy;1
MAN-DUS;Economy;1
MAN-DUS;Economy;1
MAN-DUS;Economy;1
MAN-FRA;Economy;1
MUC-CGN;Economy;1
MUC-CGN;Economy;1
CGN-MUC;Economy;1
CGN-TXL;Economy;1
FRA-LHR;Economy;1
LHR-FRA;Economy;1
FRA-TXL;Economy;1
HAM-DUS;Economy;1
MUC-CGN;Economy;1
MUC-CGN;Economy;1
MUC-CGN;Economy;1
CGN-MUC;Economy;1
CGN-MUC;Economy;1
CGN-MUC;Economy;1
DUS-FAO;Economy;1
MUC-CGN;Economy;1
MUC-CGN;Economy;1
MUC-CGN;Economy;1
MUC-CGN;Economy;1
CGN-MUC;Economy;1
CGN-MUC;Economy;1
CGN-MUC;Economy;1
MUC-DUS;Economy;1
DUS-LEJ;Economy;1
LEJ-DUS;Economy;1
FMO-PMI;Economy;1
CGN-PMI;Economy;1
PMI-FMM;Economy;1
MUC-CGN;Economy;1
TXL-CGN;Economy;1
CGN-PMI;Economy;1
PMI-FRA;Economy;1
MUC-CGN;Economy;1
TXL-CGN;Economy;1
FRA-TXL;Economy;1
CGN-TXL;Economy;1
CGN-TXL;Economy;1
CGN-MUC;Economy;1
TXL-CGN;Economy;1
CGN-TXL;Economy;1
HAM-DUS;Economy;1
TXL-CGN;Economy;1
MUC-CGN;Economy;1
MUC-CGN;Economy;1
CGN-TXL;Economy;1
CGN-MUC;Economy;1
CGN-MUC;Economy;1
MUC-CGN;Economy;1
DUS-MUC;Economy;1
CGN-MUC;Economy;1
TXL-FRA;Economy;1
MUC-CGN;Economy;1
MUC-CGN;Economy;1
MUC-CGN;Economy;1
MUC-CGN;Economy;1
CGN-MUC;Economy;1
CGN-MUC;Economy;1
MUC-DUS;Economy;1
HAM-CGN;Economy;1
CGN-MUC;Economy;1
CGN-MUC;Economy;1
TXL-FRA;Economy;1
CGN-MUC;Economy;1
CGN-MUC;Economy;1
MUC-CGN;Economy;1
MUC-CGN;Economy;1
HAM-NUE;Economy;1
MUC-CGN;Economy;1
MUC-HAM;Economy;1
CGN-HAM;Economy;1
CGN-MUC;Economy;1
TXL-DUS;Economy;1
CGN-HAM;Economy;1
MUC-CGN;Economy;1
MUC-CGN;Economy;1
CGN-TXL;Economy;1
TXL-CGN;Economy;1
CGN-TXL;Economy;1
DRS-DUS;Economy;1
CGN-MUC;Economy;1
FRA-DRS;Economy;1
CGN-MUC;Economy;1
FRA-HAM;Economy;1
CGN-LEJ;Economy;1
HAM-MUC;Economy;1
TXL-CGN;Economy;1
MUC-CGN;Economy;1
CGN-MUC;Economy;1
MUC-CGN;Economy;1
FRA-MUC;Economy;1
CGN-TXL;Economy;1
CGN-MUC;Economy;1
MUC-CGN;Economy;1
HAM-FRA;Economy;1
CGN-MUC;Economy;1
HAM-CGN;Economy;1
CGN-MUC;Economy;1
CGN-TXL;Economy;1
CGN-MUC;Economy;1
LEJ-DUS;Economy;1
DRS-DUS;Economy;1
MUC-CGN;Economy;1
TXL-CGN;Economy;1
CGN-DRS;Economy;1
MUC-CGN;Economy;1
CGN-TXL;Economy;1
CGN-MUC;Economy;1
CGN-MUC;Economy;1
CGN-MUC;Economy;1
CGN-MUC;Economy;1
MUC-CGN;Economy;1
MUC-CGN;Economy;1
DUS-MUC;Economy;1
MUC-CGN;Economy;1
DTM-MUC;Economy;1
TXL-CGN;Economy;1
CGN-TXL;Economy;1
CGN-HAM;Economy;1
CGN-MUC;Economy;1
CGN-MUC;Economy;1
MUC-CGN;Economy;1
CGN-MUC;Economy;1
MUC-CGN;Economy;1
CGN-MUC;Economy;1
DUS-TXL;Economy;1
HAM-MUC;Economy;1
HAM-CGN;Economy;1
HAM-DUS;Economy;1
CGN-HAM;Economy;1
HAM-CGN;Economy;1
HAM-CGN;Economy;1
CGN-HAM;Economy;1
MUC-CGN;Economy;1
FRA-HAM;Economy;1
MUC-CGN;Economy;1
MUC-CGN;Economy;1
MUC-FRA;Economy;1
CGN-HAM;Economy;1
CGN-MUC;Economy;1
CGN-MUC;Economy;1
BER-CGN;Economy;1
HAM-CGN;Economy;1
CGN-HAM;Economy;1
CGN-HAM;Economy;1
CGN-HAM;Economy;1
CGN-BER;Economy;1
CGN-MUC;Economy;1
CGN-MUC;Economy;1
MUC-CGN;Economy;1
MUC-CGN;Economy;1
MUC-CGN;Economy;1
CGN-MUC;Economy;1
CGN-MUC;Economy;1
BER-CGN;Economy;1
MUC-CGN;Economy;1
CGN-MUC;Economy;1
HAM-MUC;Economy;1
NUE-HAM;Economy;1
TXL-CGN;Economy;1
CGN-TXL;Economy;1
CGN-MUC;Economy;1
DUS-HAM;Economy;1
STR-PMI;Economy;1
TXL-CGN;Economy;1
TXL-CGN;Economy;1
CGN-TXL;Economy;1
CGN-HAM;Economy;1
HAM-CGN;Economy;1
HAM-CGN;Economy;1
HAM-NUE;Economy;1
HAM-STR;Economy;1
DUS-PMI;Economy;1
TXL-CGN;Economy;1
CGN-TXL;Economy;1
CGN-TXL;Economy;1
CGN-TXL;Economy;1
CGN-TXL;Economy;1
CGN-HAM;Economy;1
CGN-LEJ;Economy;1
DUS-TXL;Economy;1
DUS-HAM;Economy;1
DUS-MUC;Economy;1
HAM-CGN;Economy;1
HAM-CGN;Economy;1
HAM-CGN;Economy;1
TXL-CGN;Economy;1
CGN-TXL;Economy;1
CGN-HAM;Economy;1
CGN-HAM;Economy;1
CGN-LEJ;Economy;1
CGN-MUC;Economy;1
CGN-MUC;Economy;1
CGN-MUC;Economy;1
CGN-MUC;Economy;1
CGN-MUC;Economy;1
DUS-TXL;Economy;1
DUS-TXL;Economy;1
HAM-CGN;Economy;1
HAM-CGN;Economy;1
HAM-CGN;Economy;1
HAM-CGN;Economy;1
MUC-CGN;Economy;1
MUC-CGN;Economy;1
TXL-CGN;Economy;1
TXL-CGN;Economy;1
TXL-CGN;Economy;1
CGN-TXL;Economy;1
CGN-MUC;Economy;1
CGN-MUC;Economy;1
CGN-MUC;Economy;1
DUS-HAM;Economy;1
DUS-HAM;Economy;1
HAM-CGN;Economy;1
HAM-CGN;Economy;1
TXL-CGN;Economy;1
TXL-CGN;Economy;1
CGN-TXL;Economy;1
CGN-TXL;Economy;1
CGN-TXL;Economy;1
CGN-HAM;Economy;1
CGN-HAM;Economy;1
CGN-HAM;Economy;1
CGN-HAM;Economy;1
CGN-HAM;Economy;1
CGN-MUC;Economy;1
CGN-MUC;Economy;1
CGN-MUC;Economy;1
DUS-HAM;Economy;1
HAM-CGN;Economy;1
HAM-CGN;Economy;1
HAM-CGN;Economy;1
MUC-CGN;Economy;1
MUC-CGN;Economy;1
MUC-CGN;Economy;1
STR-HAM;Economy;1
DUS-PMI;Economy;1
CGN-LHR;Economy;1
DUS-LHR;Economy;1
CGN-TXL;Economy;1
CGN-TXL;Economy;1
CGN-TXL;Economy;1
CGN-TXL;Economy;1
CGN-TXL;Economy;1
CGN-TXL;Economy;1
CGN-HAM;Economy;1
CGN-HAM;Economy;1
CGN-LEJ;Economy;1
CGN-LEJ;Economy;1
CGN-MUC;Economy;1
DUS-MUC;Economy;1
DUS-NUE;Economy;1
HAM-DUS;Economy;1
MUC-CGN;Economy;1
MUC-CGN;Economy;1
MUC-CGN;Economy;1
TXL-CGN;Economy;1
TXL-CGN;Economy;1
TXL-CGN;Economy;1
TXL-CGN;Economy;1
TXL-CGN;Economy;1
TXL-CGN;Economy;1
CGN-TXL;Economy;1
CGN-TXL;Economy;1
CGN-TXL;Economy;1
CGN-HAM;Economy;1
CGN-MUC;Economy;1
DRS-CGN;Economy;1
HAM-CGN;Economy;1
HAM-CGN;Economy;1
HAM-CGN;Economy;1
HAM-CGN;Economy;1
MUC-CGN;Economy;1
MUC-CGN;Economy;1
DUS-CDG;Economy;1
DUS-WRO;Economy;1
TXL-CGN;Economy;1
TXL-CGN;Economy;1
TXL-CGN;Economy;1
TXL-CGN;Economy;1
TXL-CGN;Economy;1
TXL-CGN;Economy;1
CGN-TXL;Economy;1
CGN-TXL;Economy;1
HAM-CGN;Economy;1
HAM-CGN;Economy;1
HAM-CGN;Economy;1
HAM-CGN;Economy;1
HAM-CGN;Economy;1
HAM-CGN;Economy;1
HAM-CGN;Economy;1
HAM-CGN;Economy;1
HAM-DUS;Economy;1
MUC-CGN;Economy;1
MUC-CGN;Economy;1
NUE-DUS;Economy;1
TXL-CGN;Economy;1
TXL-CGN;Economy;1
CGN-TXL;Economy;1
CGN-TXL;Economy;1
CGN-HAM;Economy;1
HAM-CGN;Economy;1
HAM-CGN;Economy;1
MUC-CGN;Economy;1
MUC-CGN;Economy;1
MUC-CGN;Economy;1
MUC-HAM;Economy;1
NUE-HAM;Economy;1
CGN-ZRH;Economy;1
TXL-CGN;Economy;1
TXL-CGN;Economy;1
TXL-CGN;Economy;1
CGN-TXL;Economy;1
CGN-TXL;Economy;1
CGN-TXL;Economy;1
CGN-TXL;Economy;1
CGN-TXL;Economy;1
CGN-TXL;Economy;1
CGN-TXL;Economy;1
CGN-TXL;Economy;1
CGN-HAM;Economy;1
CGN-HAM;Economy;1
CGN-MUC;Economy;1
DUS-TXL;Economy;1
DUS-TXL;Economy;1
DUS-MUC;Economy;1
HAM-CGN;Economy;1
HAM-CGN;Economy;1
HAM-STR;Economy;1
MUC-CGN;Economy;1
DUS-PMI;Economy;1
TXL-CGN;Economy;1
CGN-TXL;Economy;1
CGN-TXL;Economy;1
CGN-TXL;Economy;1
CGN-TXL;Economy;1
CGN-TXL;Economy;1
CGN-TXL;Economy;1
CGN-HAM;Economy;1
CGN-MUC;Economy;1
CGN-MUC;Economy;1
HAM-CGN;Economy;1
HAM-CGN;Economy;1
HAM-CGN;Economy;1
TXL-CGN;Economy;1
CGN-TXL;Economy;1
CGN-TXL;Economy;1
CGN-TXL;Economy;1
CGN-TXL;Economy;1
CGN-HAM;Economy;1
CGN-MUC;Economy;1
CGN-MUC;Economy;1
CGN-MUC;Economy;1
DUS-TXL;Economy;1
HAM-CGN;Economy;1
HAM-CGN;Economy;1
HAM-CGN;Economy;1
HAM-CGN;Economy;1
HAM-CGN;Economy;1
HAM-CGN;Economy;1
HAM-CGN;Economy;1
LEJ-CGN;Economy;1
MUC-CGN;Economy;1
MUC-CGN;Economy;1
MUC-CGN;Economy;1
DUS-CDG;Economy;1
CGN-ZRH;Economy;1
CGN-TXL;Economy;1
CGN-HAM;Economy;1
CGN-HAM;Economy;1
CGN-MUC;Economy;1
DUS-TXL;Economy;1
HAM-CGN;Economy;1
HAM-CGN;Economy;1
HAM-CGN;Economy;1
HAM-CGN;Economy;1
CGN-TXL;Economy;1
CGN-TXL;Economy;1
CGN-TXL;Economy;1
CGN-TXL;Economy;1
CGN-TXL;Economy;1
CGN-HAM;Economy;1
CGN-HAM;Economy;1
CGN-MUC;Economy;1
CGN-MUC;Economy;1
CGN-MUC;Economy;1
HAM-CGN;Economy;1
HAM-CGN;Economy;1
HAM-CGN;Economy;1
HAM-CGN;Economy;1
HAM-CGN;Economy;1
HAM-CGN;Economy;1
TXL-STR;Economy;1
CGN-TXL;Economy;1
CGN-TXL;Economy;1
CGN-MUC;Economy;1
CGN-MUC;Economy;1
CGN-MUC;Economy;1
CGN-MUC;Economy;1
CGN-MUC;Economy;1
CGN-MUC;Economy;1
CGN-MUC;Economy;1
DUS-MUC;Economy;1
CGN-ZRH;Economy;1
TXL-CGN;Economy;1
CGN-TXL;Economy;1
