origin,destination,class,CO2 in grams
DUS,CDG,economy,61362
MUC,CDG,economy,82800
CGN,TXL,economy,67215
LHR,CGN,economy,72607
HAM,CGN,economy,58798
LEJ,CGN,economy,58526
DUS,MAN,economy,81069
DUS,MAN,economy,81069
LEJ,CGN,economy,58526
FRA,TXL,economy,64644
CGN,MUC,economy,64971
TXL,DUS,economy,67608
CGN,MUC,economy,64971
MUC,FRA,economy,52565
MUC,CGN,economy,64971
MUC,CGN,economy,64971
MAN,DUS,economy,81069
MAN,DUS,economy,81069
CGN,HAM,economy,58798
FRA,MUC,economy,52565
CDG,TXL,economy,93543
CDG,DUS,economy,61362
CDG,DUS,economy,61362
FRA,TXL,economy,64644
TXL,CGN,economy,67215
DRS,FRA,economy,60841
CGN,TXL,economy,67215
CDG,DUS,economy,61362
CGN,TXL,economy,67215
CGN,MUC,economy,64971
CGN,HAM,economy,58798
MUC,CGN,economy,64971
CGN,TXL,economy,67215
DUS,HAM,economy,56582
CGN,ZRH,economy,61276
CGN,MUC,economy,64971
CGN,MUC,economy,64971
TXL,CGN,economy,67215
HAM,MUC,economy,77315
CGN,MUC,economy,64971
CGN,TXL,economy,67215
CGN,TXL,economy,67215
TXL,CGN,economy,67215
CGN,MUC,economy,64971
CDG,ZRH,economy,68232
FRA,HAM,economy,62983
HAM,CGN,economy,58798
CGN,MUC,economy,64971
ZRH,CGN,economy,61276
CGN,MUC,economy,64971
MUC,DUS,economy,68928
ZRH,MUC,economy,48524
LHR,DUS,economy,70149
CGN,HAM,economy,58798
DUS,LEJ,economy,60227
CGN,STN,economy,69465
CGN,HAM,economy,58798
FRA,WRO,economy,77176
FRA,WRO,economy,77176
FRA,WRO,economy,77176
TXL,CGN,economy,67215
TXL,CGN,economy,67215
LHR,CGN,economy,72607
MUC,HAM,economy,77315
HAM,CGN,economy,58798
CGN,HAM,economy,58798
EDI,FRA,economy,104547
EDI,FRA,economy,104547
MUC,CGN,economy,64971
MUC,CGN,economy,64971
TXL,MUC,economy,68465
CGN,TXL,economy,67215
CGN,HAM,economy,58798
CGN,TXL,economy,67215
CGN,MUC,economy,64971
CGN,MUC,economy,64971
HAM,CGN,economy,58798
HAM,MUC,economy,77315
CGN,TXL,economy,67215
CGN,TXL,economy,67215
CGN,HAM,economy,58798
CGN,TXL,economy,67215
CGN,TXL,economy,67215
HAM,CGN,economy,58798
CGN,TXL,economy,67215
DUS,TXL,economy,67608
TXL,CGN,economy,67215
MUC,CGN,economy,64971
CGN,MUC,economy,64971
TXL,FRA,economy,64644
WRO,FRA,economy,77176
WRO,FRA,economy,77176
MUC,CGN,economy,64971
WRO,FRA,economy,77176
CGN,TXL,economy,67215
TXL,CGN,economy,67215
CGN,MUC,economy,64971
TXL,DUS,economy,67608
CGN,TXL,economy,67215
TXL,CGN,economy,67215
MUC,CGN,economy,64971
HAM,MUC,economy,77315
TXL,CGN,economy,67215
MUC,CGN,economy,64971
CGN,MUC,economy,64971
CGN,HAM,economy,58798
TXL,SCN,economy,75206
TXL,CGN,economy,67215
TXL,CGN,economy,67215
CDG,LIN,economy,80329
TXL,DUS,economy,67608
CGN,TXL,economy,67215
MUC,CGN,economy,64971
FRA,TXL,economy,64644
MUC,CGN,economy,64971
MUC,CGN,economy,64971
FRA,TXL,economy,64644
HAM,CGN,economy,58798
MUC,CGN,economy,64971
CGN,LHR,economy,72607
MXP,DUS,economy,80397
CGN,MUC,economy,64971
SCN,TXL,economy,75206
CGN,TXL,economy,67215
HAM,FRA,economy,62983
TXL,CGN,economy,67215
CGN,MUC,economy,64971
HAM,FRA,economy,62983
CGN,MUC,economy,64971
FRA,HAM,economy,62983
CGN,TXL,economy,67215
CGN,MUC,economy,64971
FRA,MUC,economy,52565
FRA,HAM,economy,62983
DUS,LEJ,economy,60227
LGW,CGN,economy,71052
FRA,EDI,economy,104547
CGN,EDI,economy,96355
HAM,CGN,economy,58798
CGN,HAM,economy,58798
LEJ,CGN,economy,58526
CGN,HAM,economy,58798
HAM,CGN,economy,58798
LEJ,MUC,economy,56864
CGN,MUC,economy,64971
MUC,CGN,economy,64971
CGN,ZRH,economy,61276
DUS,NUE,economy,58888
NUE,CIA,economy,94403
LEJ,CGN,economy,58526
DUS,MUC,economy,68928
DUS,HAM,economy,56582
HAM,MUC,economy,77315
MUC,CGN,economy,64971
FRA,TXL,economy,64644
MUC,CGN,economy,64971
CGN,MUC,economy,64971
CGN,MUC,economy,64971
MUC,DUS,economy,68928
CGN,LEJ,economy,58526
FRA,FCO,economy,100092
DUS,FCO,economy,110464
MUC,CGN,economy,64971
MUC,FCO,economy,85932
MUC,CGN,economy,64971
HAM,MUC,economy,77315
TXL,MUC,economy,68465
MUC,CGN,economy,64971
MUC,CGN,economy,64971
HAM,MUC,economy,77315
HAM,MUC,economy,77315
CGN,MUC,economy,64971
DTM,MUC,economy,67057
HAM,MUC,economy,77315
HAM,MUC,economy,77315
HAM,MUC,economy,77315
CGN,MUC,economy,64971
FCO,DUS,economy,110464
FCO,FRA,economy,100092
FCO,FRA,economy,100092
FCO,FRA,economy,100092
MUC,HAM,economy,77315
CGN,TXL,economy,67215
CGN,MUC,economy,64971
MUC,DUS,economy,68928
CGN,MUC,economy,64971
DRS,CGN,economy,67294
CGN,MUC,economy,64971
CGN,MUC,economy,64971
CGN,MUC,economy,64971
MUC,HAM,economy,77315
MUC,CGN,economy,64971
CGN,MUC,economy,64971
MUC,CGN,economy,64971
CGN,MUC,economy,64971
MUC,CGN,economy,64971
MUC,CGN,economy,64971
CGN,MUC,economy,64971
MUC,HAM,economy,77315
MUC,CGN,economy,64971
CGN,MUC,economy,64971
CGN,TXL,economy,67215
MUC,CGN,economy,64971
CGN,TXL,economy,67215
MUC,DUS,economy,68928
MUC,HAM,economy,77315
MUC,HAM,economy,77315
MUC,HAM,economy,77315
CGN,MUC,economy,64971
TXL,CGN,economy,67215
GWT,DUS,economy,63402
CGN,TXL,economy,67215
TXL,FRA,economy,64644
DUS,GWT,economy,63402
CGN,LEJ,economy,58526
LEJ,DUS,economy,60227
CGN,MUC,economy,64971
CGN,LEJ,economy,58526
CGN,LEJ,economy,58526
CGN,LEJ,economy,58526
CGN,PMI,economy,120292
FMO,PMI,economy,128670
MUC,HAM,economy,77315
DUS,LEJ,economy,60227
DRS,PMI,economy,112862
STR,PMI,economy,110755
CGN,PMI,economy,120292
TXL,CGN,economy,67215
CGN,HAM,economy,58798
CGN,MUC,economy,64971
MUC,CGN,economy,64971
PMI,DRS,economy,112862
STR,HAM,economy,73844
PMI,FMM,economy,109298
PMI,FMO,economy,128670
LEJ,DUS,economy,60227
HAM,CGN,economy,58798
NCE,ZRH,economy,64971
ZRH,HAM,economy,83590
CGN,TXL,economy,67215
CGN,TXL,economy,67215
PMI,STR,economy,110755
HAM,NCE,economy,110056
HAM,FRA,economy,62983
DUS,CDG,economy,61362
TXL,CGN,economy,67215
HAM,CGN,economy,58798
CGN,MUC,economy,64971
DUS,CDG,economy,61362
DUS,VIE,economy,89687
MUC,CGN,economy,64971
TXL,CGN,economy,67215
DUS,VIE,economy,89687
TXL,DUS,economy,67608
CGN,TXL,economy,67215
CGN,LHR,economy,72607
CGN,LHR,economy,72607
VIE,DUS,economy,89687
CGN,HAM,economy,58798
TXL,DUS,economy,67608
VIE,TXL,economy,73482
TXL,CGN,economy,67215
CGN,LEJ,economy,58526
CDG,DUS,economy,61362
CGN,TXL,economy,67215
TXL,CGN,economy,67215
DUS,STR,economy,56394
TXL,CGN,economy,67215
TXL,DUS,economy,67608
TXL,CGN,economy,67215
FRA,TXL,economy,64644
MUC,HAM,economy,77315
MUC,CGN,economy,64971
DUS,HAM,economy,56582
NUE,DUS,economy,58888
MUC,CGN,economy,64971
CGN,MUC,economy,64971
HAM,FRA,economy,62983
MUC,DUS,economy,68928
CGN,TXL,economy,67215
CGN,MUC,economy,64971
CGN,MUC,economy,64971
HAM,MUC,economy,77315
MUC,HAM,economy,77315
HAM,CGN,economy,58798
CGN,MUC,economy,64971
MUC,TXL,economy,68465
CGN,MUC,economy,64971
LHR,CGN,economy,72607
MUC,CGN,economy,64971
FRA,TXL,economy,64644
FRA,MUC,economy,52565
CGN,MUC,economy,64971
HAM,CGN,economy,58798
CGN,MUC,economy,64971
MUC,CGN,economy,64971
TXL,CDG,economy,93543
ZRH,TXL,economy,81337
DUS,CDG,economy,61362
TXL,FRA,economy,64644
CGN,MUC,economy,64971
CGN,MUC,economy,64971
CGN,MUC,economy,64971
MUC,CGN,economy,64971
MUC,CGN,economy,64971
MUC,CGN,economy,64971
NUE,DUS,economy,58888
CGN,BRS,economy,83393
MUC,CGN,economy,64971
FRA,MUC,economy,52565
TXL,CGN,economy,67215
MUC,CGN,economy,64971
FRA,FCO,economy,100092
MUC,FCO,economy,85932
FRA,HAM,economy,62983
CDG,DUS,economy,61362
TXL,CGN,economy,67215
TXL,CGN,economy,67215
MUC,CGN,economy,64971
MUC,FRA,economy,52565
FRA,MUC,economy,52565
CGN,MUC,economy,64971
CGN,MUC,economy,64971
FCO,BLQ,economy,54072
MXP,CGN,economy,76827
BLQ,DUS,economy,91874
FCO,MXP,economy,70827
TXL,CGN,economy,67215
TXL,CGN,economy,67215
CGN,MUC,economy,64971
MXP,CGN,economy,76827
FCO,MXP,economy,70827
CDG,TXL,economy,93543
LEJ,CGN,economy,58526
CGN,MUC,economy,64971
CGN,TXL,economy,67215
CGN,TXL,economy,67215
CGN,TXL,economy,67215
FCO,MXP,economy,70827
FCO,MXP,economy,70827
MXP,CGN,economy,76827
CGN,MUC,economy,64971
CGN,TXL,economy,67215
DTM,MUC,economy,67057
CGN,TXL,economy,67215
CGN,TXL,economy,67215
TXL,MUC,economy,68465
CGN,HAM,economy,58798
LHR,CGN,economy,72607
LHR,CGN,economy,72607
CGN,LEJ,economy,58526
CGN,ZRH,economy,61276
CGN,TXL,economy,67215
TXL,CGN,economy,67215
TXL,CGN,economy,67215
MUC,CGN,economy,64971
MUC,CGN,economy,64971
HAM,CGN,economy,58798
MUC,CGN,economy,64971
CGN,HAM,economy,58798
TXL,CGN,economy,67215
TXL,CGN,economy,67215
DUS,MUC,economy,68928
MUC,CGN,economy,64971
CGN,MUC,economy,64971
MUC,DUS,economy,68928
DUS,MAN,economy,81069
DUS,MAN,economy,81069
DUS,MAN,economy,81069
DUS,MAN,economy,81069
DUS,MAN,economy,81069
DUS,MAN,economy,81069
DUS,MAN,economy,81069
DUS,MAN,economy,81069
DUS,MAN,economy,81069
DUS,MAN,economy,81069
DUS,MAN,economy,81069
DUS,MAN,economy,81069
TXL,MAN,economy,105195
DUS,MAN,economy,81069
DUS,ZRH,economy,65700
LHR,CGN,economy,72607
CGN,ZRH,economy,61276
TXL,FRA,economy,64644
TXL,CGN,economy,67215
MUC,DUS,economy,68928
TXL,CGN,economy,67215
DUS,MUC,economy,68928
CGN,TXL,economy,67215
DUS,MAN,economy,81069
ZRH,CGN,economy,61276
MAN,FRA,economy,92432
ZRH,MAN,economy,103009
ZRH,TXL,economy,81337
CGN,LHR,economy,72607
CGN,LHR,economy,72607
CGN,LHR,economy,72607
MAN,DUS,economy,81069
MAN,DUS,economy,81069
MAN,DUS,economy,81069
MAN,DUS,economy,81069
MAN,DUS,economy,81069
MAN,DUS,economy,81069
MAN,DUS,economy,81069
MAN,DUS,economy,81069
MAN,DUS,economy,81069
MAN,DUS,economy,81069
LPL,SXF,economy,108598
MAN,DUS,economy,81069
MAN,DUS,economy,81069
CGN,MUC,economy,64971
DUS,MUC,economy,68928
MUC,DUS,economy,68928
HAM,PMI,economy,120968
CGN,TXL,economy,67215
CGN,PMI,economy,120292
TXL,CGN,economy,67215
CGN,HAM,economy,58798
DUS,MUC,economy,68928
DUS,MUC,economy,68928
TXL,FRA,economy,64644
PMI,CGN,economy,120292
FRA,TXL,economy,64644
FRA,TXL,economy,64644
FRA,TXL,economy,64644
FRA,BRS,economy,90940
HAM,CGN,economy,58798
MUC,CGN,economy,64971
CGN,MUC,economy,64971
TXL,DUS,economy,67608
CGN,LEJ,economy,58526
HAM,DUS,economy,56582
HAM,NUE,economy,67373
CGN,LEJ,economy,58526
DUS,MUC,economy,68928
FRA,TXL,economy,64644
TXL,FRA,economy,64644
FRA,TXL,economy,64644
TXL,FRA,economy,64644
CGN,TXL,economy,67215
MUC,TXL,economy,68465
FRA,HAM,economy,62983
HAM,FRA,economy,62983
TXL,CGN,economy,67215
TXL,FRA,economy,64644
FRA,TXL,economy,64644
MUC,CGN,economy,64971
CGN,HAM,economy,58798
MUC,HAM,economy,77315
HAM,FRA,economy,62983
HAM,CGN,economy,58798
TXL,CGN,economy,67215
MUC,CGN,economy,64971
CGN,TXL,economy,67215
TXL,CGN,economy,67215
TXL,CGN,economy,67215
TXL,DUS,economy,67608
DUS,MAN,economy,81069
DUS,MAN,economy,81069
DUS,DRS,economy,69082
LEJ,DUS,economy,60227
CGN,MUC,economy,64971
CGN,MUC,economy,64971
CGN,MUC,economy,64971
MAN,DUS,economy,81069
MAN,DUS,economy,81069
MAN,DUS,economy,81069
MAN,DUS,economy,81069
MAN,DUS,economy,81069
MAN,DUS,economy,81069
MAN,DUS,economy,81069
MAN,DUS,economy,81069
MAN,FRA,economy,92432
MUC,CGN,economy,64971
MUC,CGN,economy,64971
CGN,MUC,economy,64971
CGN,TXL,economy,67215
FRA,LHR,economy,81002
LHR,FRA,economy,81002
FRA,TXL,economy,64644
HAM,DUS,economy,56582
MUC,CGN,economy,64971
MUC,CGN,economy,64971
MUC,CGN,economy,64971
CGN,MUC,economy,64971
CGN,MUC,economy,64971
CGN,MUC,economy,64971
DUS,FAO,economy,144510
MUC,CGN,economy,64971
MUC,CGN,economy,64971
MUC,CGN,economy,64971
MUC,CGN,economy,64971
CGN,MUC,economy,64971
CGN,MUC,economy,64971
CGN,MUC,economy,64971
MUC,DUS,economy,68928
DUS,LEJ,economy,60227
LEJ,DUS,economy,60227
FMO,PMI,economy,128670
CGN,PMI,economy,120292
PMI,FMM,economy,109298
MUC,CGN,economy,64971
TXL,CGN,economy,67215
CGN,PMI,economy,120292
PMI,FRA,economy,117298
MUC,CGN,economy,64971
TXL,CGN,economy,67215
FRA,TXL,economy,64644
CGN,TXL,economy,67215
CGN,TXL,economy,67215
CGN,MUC,economy,64971
TXL,CGN,economy,67215
CGN,TXL,economy,67215
HAM,DUS,economy,56582
TXL,CGN,economy,67215
MUC,CGN,economy,64971
MUC,CGN,economy,64971
CGN,TXL,economy,67215
CGN,MUC,economy,64971
CGN,MUC,economy,64971
MUC,CGN,economy,64971
DUS,MUC,economy,68928
CGN,MUC,economy,64971
TXL,FRA,economy,64644
MUC,CGN,economy,64971
MUC,CGN,economy,64971
MUC,CGN,economy,64971
MUC,CGN,economy,64971
CGN,MUC,economy,64971
CGN,MUC,economy,64971
MUC,DUS,economy,68928
HAM,CGN,economy,58798
CGN,MUC,economy,64971
CGN,MUC,economy,64971
TXL,FRA,economy,64644
CGN,MUC,economy,64971
CGN,MUC,economy,64971
MUC,CGN,economy,64971
MUC,CGN,economy,64971
HAM,NUE,economy,67373
MUC,CGN,economy,64971
MUC,HAM,economy,77315
CGN,HAM,economy,58798
CGN,MUC,economy,64971
TXL,DUS,economy,67608
CGN,HAM,economy,58798
MUC,CGN,economy,64971
MUC,CGN,economy,64971
CGN,TXL,economy,67215
TXL,CGN,economy,67215
CGN,TXL,economy,67215
DRS,DUS,economy,69082
CGN,MUC,economy,64971
FRA,DRS,economy,60841
CGN,MUC,economy,64971
FRA,HAM,economy,62983
CGN,LEJ,economy,58526
HAM,MUC,economy,77315
TXL,CGN,economy,67215
MUC,CGN,economy,64971
CGN,MUC,economy,64971
MUC,CGN,economy,64971
FRA,MUC,economy,52565
CGN,TXL,economy,67215
CGN,MUC,economy,64971
MUC,CGN,economy,64971
HAM,FRA,economy,62983
CGN,MUC,economy,64971
HAM,CGN,economy,58798
CGN,MUC,economy,64971
CGN,TXL,economy,67215
CGN,MUC,economy,64971
LEJ,DUS,economy,60227
DRS,DUS,economy,69082
MUC,CGN,economy,64971
TXL,CGN,economy,67215
CGN,DRS,economy,67294
MUC,CGN,economy,64971
CGN,TXL,economy,67215
CGN,MUC,economy,64971
CGN,MUC,economy,64971
CGN,MUC,economy,64971
CGN,MUC,economy,64971
MUC,CGN,economy,64971
MUC,CGN,economy,64971
DUS,MUC,economy,68928
MUC,CGN,economy,64971
DTM,MUC,economy,67057
TXL,CGN,economy,67215
CGN,TXL,economy,67215
CGN,HAM,economy,58798
CGN,MUC,economy,64971
CGN,MUC,economy,64971
MUC,CGN,economy,64971
CGN,MUC,economy,64971
MUC,CGN,economy,64971
CGN,MUC,economy,64971
DUS,TXL,economy,67608
HAM,MUC,economy,77315
HAM,CGN,economy,58798
HAM,DUS,economy,56582
CGN,HAM,economy,58798
HAM,CGN,economy,58798
HAM,CGN,economy,58798
CGN,HAM,economy,58798
MUC,CGN,economy,64971
FRA,HAM,economy,62983
MUC,CGN,economy,64971
MUC,CGN,economy,64971
MUC,FRA,economy,52565
CGN,HAM,economy,58798
CGN,MUC,economy,64971
CGN,MUC,economy,64971
BER,CGN,economy,67686
HAM,CGN,economy,58798
CGN,HAM,economy,58798
CGN,HAM,economy,58798
CGN,HAM,economy,58798
CGN,BER,economy,67686
CGN,MUC,economy,64971
CGN,MUC,economy,64971
MUC,CGN,economy,64971
MUC,CGN,economy,64971
MUC,CGN,economy,64971
CGN,MUC,economy,64971
CGN,MUC,economy,64971
BER,CGN,economy,67686
MUC,CGN,economy,64971
CGN,MUC,economy,64971
HAM,MUC,economy,77315
NUE,HAM,economy,67373
TXL,CGN,economy,67215
CGN,TXL,economy,67215
CGN,MUC,economy,64971
DUS,HAM,economy,56582
STR,PMI,economy,110755
TXL,CGN,economy,67215
TXL,CGN,economy,67215
CGN,TXL,economy,67215
CGN,HAM,economy,58798
HAM,CGN,economy,58798
HAM,CGN,economy,58798
HAM,NUE,economy,67373
HAM,STR,economy,73844
DUS,PMI,economy,122475
TXL,CGN,economy,67215
CGN,TXL,economy,67215
CGN,TXL,economy,67215
CGN,TXL,economy,67215
CGN,TXL,economy,67215
CGN,HAM,economy,58798
CGN,LEJ,economy,58526
DUS,TXL,economy,67608
DUS,HAM,economy,56582
DUS,MUC,economy,68928
HAM,CGN,economy,58798
HAM,CGN,economy,58798
HAM,CGN,economy,58798
TXL,CGN,economy,67215
CGN,TXL,economy,67215
CGN,HAM,economy,58798
CGN,HAM,economy,58798
CGN,LEJ,economy,58526
CGN,MUC,economy,64971
CGN,MUC,economy,64971
CGN,MUC,economy,64971
CGN,MUC,economy,64971
CGN,MUC,economy,64971
DUS,TXL,economy,67608
DUS,TXL,economy,67608
HAM,CGN,economy,58798
HAM,CGN,economy,58798
HAM,CGN,economy,58798
HAM,CGN,economy,58798
MUC,CGN,economy,64971
MUC,CGN,economy,64971
TXL,CGN,economy,67215
TXL,CGN,economy,67215
TXL,CGN,economy,67215
CGN,TXL,economy,67215
CGN,MUC,economy,64971
CGN,MUC,economy,64971
CGN,MUC,economy,64971
DUS,HAM,economy,56582
DUS,HAM,economy,56582
HAM,CGN,economy,58798
HAM,CGN,economy,58798
TXL,CGN,economy,67215
TXL,CGN,economy,67215
CGN,TXL,economy,67215
CGN,TXL,economy,67215
CGN,TXL,economy,67215
CGN,HAM,economy,58798
CGN,HAM,economy,58798
CGN,HAM,economy,58798
CGN,HAM,economy,58798
CGN,HAM,economy,58798
CGN,MUC,economy,64971
CGN,MUC,economy,64971
CGN,MUC,economy,64971
DUS,HAM,economy,56582
HAM,CGN,economy,58798
HAM,CGN,economy,58798
HAM,CGN,economy,58798
MUC,CGN,economy,64971
MUC,CGN,economy,64971
MUC,CGN,economy,64971
STR,HAM,economy,73844
DUS,PMI,economy,122475
CGN,LHR,economy,72607
DUS,LHR,economy,70149
CGN,TXL,economy,67215
CGN,TXL,economy,67215
CGN,TXL,economy,67215
CGN,TXL,economy,67215
CGN,TXL,economy,67215
CGN,TXL,economy,67215
CGN,HAM,economy,58798
CGN,HAM,economy,58798
CGN,LEJ,economy,58526
CGN,LEJ,economy,58526
CGN,MUC,economy,64971
DUS,MUC,economy,68928
DUS,NUE,economy,58888
HAM,DUS,economy,56582
MUC,CGN,economy,64971
MUC,CGN,economy,64971
MUC,CGN,economy,64971
TXL,CGN,economy,67215
TXL,CGN,economy,67215
TXL,CGN,economy,67215
TXL,CGN,economy,67215
TXL,CGN,economy,67215
TXL,CGN,economy,67215
CGN,TXL,economy,67215
CGN,TXL,economy,67215
CGN,TXL,economy,67215
CGN,HAM,economy,58798
CGN,MUC,economy,64971
DRS,CGN,economy,67294
HAM,CGN,economy,58798
HAM,CGN,economy,58798
HAM,CGN,economy,58798
HAM,CGN,economy,58798
MUC,CGN,economy,64971
MUC,CGN,economy,64971
DUS,CDG,economy,61362
DUS,WRO,economy,84310
TXL,CGN,economy,67215
TXL,CGN,economy,67215
TXL,CGN,economy,67215
TXL,CGN,economy,67215
TXL,CGN,economy,67215
TXL,CGN,economy,67215
CGN,TXL,economy,67215
CGN,TXL,economy,67215
HAM,CGN,economy,58798
HAM,CGN,economy,58798
HAM,CGN,economy,58798
HAM,CGN,economy,58798
HAM,CGN,economy,58798
HAM,CGN,economy,58798
HAM,CGN,economy,58798
HAM,CGN,economy,58798
HAM,DUS,economy,56582
MUC,CGN,economy,64971
MUC,CGN,economy,64971
NUE,DUS,economy,58888
TXL,CGN,economy,67215
TXL,CGN,economy,67215
CGN,TXL,economy,67215
CGN,TXL,economy,67215
CGN,HAM,economy,58798
HAM,CGN,economy,58798
HAM,CGN,economy,58798
MUC,CGN,economy,64971
MUC,CGN,economy,64971
MUC,CGN,economy,64971
MUC,HAM,economy,77315
NUE,HAM,economy,67373
CGN,ZRH,economy,61276
TXL,CGN,economy,67215
TXL,CGN,economy,67215
TXL,CGN,economy,67215
CGN,TXL,economy,67215
CGN,TXL,economy,67215
CGN,TXL,economy,67215
CGN,TXL,economy,67215
CGN,TXL,economy,67215
CGN,TXL,economy,67215
CGN,TXL,economy,67215
CGN,TXL,economy,67215
CGN,HAM,economy,58798
CGN,HAM,economy,58798
CGN,MUC,economy,64971
DUS,TXL,economy,67608
DUS,TXL,economy,67608
DUS,MUC,economy,68928
HAM,CGN,economy,58798
HAM,CGN,economy,58798
HAM,STR,economy,73844
MUC,CGN,economy,64971
DUS,PMI,economy,122475
TXL,CGN,economy,67215
CGN,TXL,economy,67215
CGN,TXL,economy,67215
CGN,TXL,economy,67215
CGN,TXL,economy,67215
CGN,TXL,economy,67215
CGN,TXL,economy,67215
CGN,HAM,economy,58798
CGN,MUC,economy,64971
CGN,MUC,economy,64971
HAM,CGN,economy,58798
HAM,CGN,economy,58798
HAM,CGN,economy,58798
TXL,CGN,economy,67215
CGN,TXL,economy,67215
CGN,TXL,economy,67215
CGN,TXL,economy,67215
CGN,TXL,economy,67215
CGN,HAM,economy,58798
CGN,MUC,economy,64971
CGN,MUC,economy,64971
CGN,MUC,economy,64971
DUS,TXL,economy,67608
HAM,CGN,economy,58798
HAM,CGN,economy,58798
HAM,CGN,economy,58798
HAM,CGN,economy,58798
HAM,CGN,economy,58798
HAM,CGN,economy,58798
HAM,CGN,economy,58798
LEJ,CGN,economy,58526
MUC,CGN,economy,64971
MUC,CGN,economy,64971
MUC,CGN,economy,64971
DUS,CDG,economy,61362
CGN,ZRH,economy,61276
CGN,TXL,economy,67215
CGN,HAM,economy,58798
CGN,HAM,economy,58798
CGN,MUC,economy,64971
DUS,TXL,economy,67608
HAM,CGN,economy,58798
HAM,CGN,economy,58798
HAM,CGN,economy,58798
HAM,CGN,economy,58798
CGN,TXL,economy,67215
CGN,TXL,economy,67215
CGN,TXL,economy,67215
CGN,TXL,economy,67215
CGN,TXL,economy,67215
CGN,HAM,economy,58798
CGN,HAM,economy,58798
CGN,MUC,economy,64971
CGN,MUC,economy,64971
CGN,MUC,economy,64971
HAM,CGN,economy,58798
HAM,CGN,economy,58798
HAM,CGN,economy,58798
HAM,CGN,economy,58798
HAM,CGN,economy,58798
HAM,CGN,economy,58798
TXL,STR,economy,71276
CGN,TXL,economy,67215
CGN,TXL,economy,67215
CGN,MUC,economy,64971
CGN,MUC,economy,64971
CGN,MUC,economy,64971
CGN,MUC,economy,64971
CGN,MUC,economy,64971
CGN,MUC,economy,64971
CGN,MUC,economy,64971
DUS,MUC,economy,68928
CGN,ZRH,economy,61276
TXL,CGN,economy,67215
